experiment,model,seed,standard,LS(0.01),LS(0.05),LS(0.1),LS(0.3),EarlyStop,L2reg
F,MLP(4),42,5.254955979286083,5.106456322393753,4.635237494010697,6.835047562921438,5.137691922746935,5.38168921869999,5.256297685118785
F,MLP(8),42,3.507736860538416,4.853315525618657,2.730522911523192,4.926907729352158,4.844169277574056,4.619916553000803,4.833571956036291
F,MLP(16),42,1.63331859877778,2.408189037492909,2.2593321180620944,2.072354136834625,2.582037648159932,3.2258419124857354,2.541011113200679
F,MLP(8x2),42,1.5824910401748553,2.6236340881007782,1.3295932765141618,0.9990116860771712,1.5773435761592627,1.7411520177899,1.716245640209606
F,MLP(16x2),42,0.4305148728008271,0.482031601513012,0.5368620435001965,0.6349432374043793,0.466157237196613,0.9029210967355537,0.4997577350080882
F,MLP(4),43,4.875356565384287,5.0916040764568224,4.864179791348766,4.792221222232518,4.925745703719899,5.119912451596794,6.363476561117251
F,MLP(8),43,3.100417039464748,2.6326965760490464,4.622852152377844,4.765979746985602,2.9151483688052817,4.117376848585238,3.1745988712636595
F,MLP(16),43,3.289554606327959,1.9101697778447115,2.2404897954425578,2.3916702086742863,2.2516368051892535,3.118352518872189,2.6354848375901216
F,MLP(8x2),43,1.2161224929913141,1.7004700114663491,1.4049811708787565,0.47921891251481374,1.224740009457591,1.9113694816613889,0.6810941842500884
F,MLP(16x2),43,0.29372878574307243,0.25591335101719287,0.2967113267578603,0.25671420544726337,0.29465948815361176,0.5303380812815406,0.40161288905011067
F,MLP(4),44,7.683459758773274,5.372746687390284,5.145936201272587,5.084050359001939,5.288443421488759,8.384859308229395,4.282570101318876
F,MLP(8),44,5.007053393949999,2.4535100775668353,2.9378382730756996,3.8319799974329176,2.9994811936914703,4.958187834469616,4.58951096612381
F,MLP(16),44,2.260851850080472,2.08721066489196,2.4397446924464994,2.4806284683380566,2.412146442688435,2.879944356100529,2.299827608436499
F,MLP(8x2),44,0.9267343845125149,0.7366575258698935,1.1265951449236644,1.067972295842817,0.7653575231366847,4.360628925440475,0.859977097267255
F,MLP(16x2),44,0.38537032686005873,0.36949355296884634,0.3086931210010702,0.4148862687927065,1.3715289880121866,0.3873347057290593,0.3725732169065952
F,MLP(4),45,5.090573148525804,15.030208695599896,4.237983898935091,5.030885719766331,5.079455310052346,8.747559381423613,5.083461397038045
F,MLP(8),45,3.4855267427897862,3.6194549704485794,4.432880505685268,3.21690224597662,3.099865034749526,4.573869310467694,4.83318045100143
F,MLP(16),45,2.52728681670296,0.8969437418166862,4.569477681506638,2.7868275385501553,1.8875728364370483,2.9954791466314017,2.5382552033896717
F,MLP(8x2),45,1.5500678323975388,0.49192020252824187,0.5111136455584275,1.0834320424100383,0.5632139512393244,2.244728786553853,1.4955050182345915
